Posisi_LS,Posisi_BT,Yellowfin,Bigeye,Albacore
-14.15,117.0333333333,4,18,12
-14.2166666667,117.0333333333,6,10,5
-14.3333333333,116.6166666667,6,11,12
-11.1833333333,111.25,1,1,2
-11.1166666667,111.5833333333,0,16,1
-11.65,121.4666666667,12,5,0
-11.65,121.5333333333,1,15,6
-11.35,121.5333333333,12,2,4
-12.65,118.45,4,2,3
-11.9833333333,121.2666666667,2,0,5
-12.1166666667,121.95,2,2,2
-10.6,123.8333333333,17,5,0
-10.7833333333,124.8,1,0,0
-10.0333333333,124.8,10,4,0
-13.0833333333,118.2,7,3,12
-12.5833333333,117.0833333333,0,7,0
-11.2833333333,121,1,5,0
-12.45,117.7166666667,6,4,14
-12.95,118.6333333333,4,0,0
-11.0333333333,117.4333333333,4,11,8
-11.1166666667,117.2166666667,1,2,1
-11.5666666667,118.0833333333,1,0,0
-11.15,116.2,2,0,0
-13.5833333333,116.55,3,1,2
-12,118.9666666667,1,1,25
-13.3,119.4333333333,3,4,56
-13.0333333333,119.1,1,2,15
-12.0333333333,119.2833333333,2,0,0
-12.1,118.1833333333,0,2,1
-11.25,113.5833333333,2,1,0
-12.5166666667,115.6666666667,0,3,0
-12.5333333333,116.1666666667,0,1,3
-12.1,116.7,1,6,3
-11.6166666667,116.1833333333,4,4,13
-11.6166666667,116.1833333333,5,2,1
-11.1833333333,116.25,1,5,7
-11.35,112.4,3,8,1
-11.1333333333,112.0833333333,0,6,1
-11.0333333333,112.3166666667,3,12,0
-11.2666666667,112.25,2,10,0
-11.0333333333,112.3166666667,3,12,0
-11.5833333333,112.3666666667,3,9,1
-11.3166666667,113.1666666667,1,23,0
-11.2833333333,112.5333333333,6,21,0
-11.5166666667,112.5,4,5,8
-11.1666666667,117.5333333333,6,12,0
-11.5666666667,115.9166666667,1,14,2
-12.25,116.25,5,5,0
-12.9833333333,112.9333333333,2,10,9
-14,112.75,2,8,0
-13.75,113.8333333333,2,19,1
-11.0333333333,110.9833333333,20,5,0
-11.1666666667,111,6,12,1
-11.0333333333,111.3,3,2,1
-11.4,111.6,8,8,1
-11.3666666667,112.0166666667,6,12,1
-11.45,113.1,0,8,0
-11.1833333333,112.5,0,28,0
-11.25,114.2,13,0,3
-11.9666666667,113.6833333333,2,2,2
-12.3833333333,114.4,1,8,9
-12.8166666667,113.8333333333,1,2,14
-14.2833333333,112.8666666667,17,5,5
-11.1333333333,111.7833333333,3,14,0
-11.2166666667,112.25,1,0,5
-11.1,112.9333333333,10,12,2
-11.1,115.6333333333,3,10,0
-12,113.0833333333,11,6,11
-11.7833333333,112.7166666667,7,10,5
-12.1,111.9833333333,14,3,7
-12.2,112.0666666667,2,6,15
-12.0333333333,112.1666666667,1,3,15
-12.45,112,14,2,2
-12.0333333333,112.1666666667,1,3,15
-11.3666666667,113.6666666667,14,10,1
-11.5,111.8333333333,9,12,4
-11.3166666667,111.6666666667,4,10,5
-11.2,111.45,5,16,3
-11.1333333333,111.8,6,13,8
-11.6333333333,113.1666666667,0,13,0
-11.0333333333,110.8666666667,2,12,0
-11.2,112.1333333333,17,8,1
-11.0833333333,112.1,11,8,0
-11.0166666667,112.7666666667,2,5,2
-11.1833333333,116.25,0,2,0
-11.6166666667,118.1333333333,6,2,1
-13,118.5,9,16,11
-13.3833333333,118.3333333333,5,16,16
-13.1166666667,118.1833333333,5,11,6
-13.4166666667,117.5166666667,3,6,12
-12.75,117.35,1,3,8
-12.2833333333,116.7833333333,3,1,5
-11.85,116.8,16,0,46
-11.5666666667,116.3666666667,6,9,17
-11.05,116.8666666667,0,1,0
-12.1166666667,117.7833333333,1,15,11
-12.7166666667,117.2,1,5,9
-13.5833333333,113.9166666667,0,4,1
-13.8333333333,113.75,0,10,0
-14.45,114,0,1,1
-13.8,114.3666666667,5,0,0
-11.5166666667,116.1333333333,1,5,3
-11.3666666667,116.0833333333,1,12,3
-11.5166666667,115.6,0,14,0
-12.1166666667,116.2166666667,9,14,7
-12.35,116.25,1,6,10
-12.15,116.5166666667,6,16,11
-11.8833333333,116.2166666667,10,10,4
-11.8,115.95,1,0,5
-12.3333333333,115.6333333333,5,2,3
-13.05,115.8666666667,2,0,15
-12.1666666667,114.85,2,0,1
-11.6,114.3666666667,8,11,0
-11.2833333333,114.0333333333,7,5,0
-11.35,117.8833333333,5,10,1
-11.1,117.8666666667,5,13,7
-12.7,117.2,4,3,8
-12.25,116.7166666667,10,4,10
-12,117.15,2,7,3
-11.1166666667,115.4333333333,2,0,0
-11.8,121.1333333333,3,2,38
-11.8333333333,121.4166666667,5,5,25
-11.6666666667,121.4166666667,7,8,33
-11.7333333333,121.2333333333,3,5,25
-11.9666666667,121.1666666667,4,1,21
-11.6,121.55,4,10,22
-11.95,118.3333333333,12,4,8
-13.0666666667,111.9666666667,9,6,11
-13.2666666667,111.0833333333,0,9,8
-12.15,110.8333333333,4,5,7
-12.15,109.95,5,6,26
-12.0666666667,109.6,1,1,9
-11.6,109.0666666667,1,4,2
