Posisi_LS,Posisi_BT,Yellowfin,Bigeye,Albacore
-9.6333333333,125.6166666667,6,3,0
-9.5166666667,126.3166666667,2,0,0
-9.3,126.6666666667,5,7,0
-9.1333333333,126.3333333333,2,3,0
-9.6833333333,121.7,1,0,0
-9.8,116.1666666667,2,14,0
-10.2833333333,116.4166666667,1,15,3
-10.3,116.4666666667,1,8,4
-10.0666666667,116.5166666667,0,17,6
-10,116.4166666667,1,15,4
-10.05,116.5166666667,0,12,4
-9.9666666667,116.5166666667,3,11,2
-9.9333333333,116.5333333333,5,7,4
-10.25,116.3333333333,1,6,12
-10.3166666667,116.3333333333,2,9,7
-8.1666666667,117.1666666667,1,0,0
-7.8333333333,118.0666666667,2,0,0
-7.9333333333,118.55,6,0,0
-7.9333333333,118.8333333333,0,0,0
-7.6666666667,118.4166666667,2,0,0
-9.3333333333,113.3333333333,5,3,0
-9.4166666667,112.6666666667,23,2,0
-10.25,113.6166666667,7,3,0
-10.9166666667,116.3666666667,2,0,5
-9.4666666667,117.25,0,4,1
-9.75,116.8333333333,1,2,2
-10.6833333333,116.8,0,4,5
-7.5,118.7666666667,1,0,0
-9.1833333333,116.5666666667,10,0,0
-9.3333333333,121.7666666667,6,4,0
-9.2,121.6166666667,2,2,0
-8.9666666667,121.9666666667,5,3,0
-8.9666666667,122.1833333333,1,0,0
-10.6666666667,118.15,2,1,0
-10.95,117.25,2,10,0
-10.4166666667,116.8,6,1,0
-7.55,115.95,4,3,0
-7.3666666667,118.8166666667,2,0,0
-7.9,119.3333333333,3,1,0
-10.5,120.2166666667,4,3,0
-11,120.3333333333,4,3,0
-10.3,116.8333333333,1,0,0
-10.8333333333,118,2,3,0
-10.0333333333,116.45,0,0,0
-9.9666666667,117.9333333333,5,5,0
-9.8166666667,115.9666666667,2,0,0
-7.9166666667,117.5,1,0,0
-7.75,118.5,1,0,0
-7.7,118.5,1,0,0
-7.6833333333,118.5833333333,1,0,0
-7.5833333333,118.8,0,1,0
-8.0833333333,119.4833333333,1,0,0
-9.8833333333,115.2,1,0,0
-9.9333333333,116.1166666667,2,0,0
-10.2833333333,116.4666666667,1,0,0
-9.9,116.8,1,0,0
-9.3333333333,116.2333333333,1,0,0
-9,112.75,2,0,0
-10.5333333333,113.6666666667,1,0,0
-10.5666666667,113.6333333333,4,0,0
-10.4833333333,117.1166666667,1,2,0
-10.4166666667,117.9333333333,0,5,0
-10.25,118.0833333333,2,2,0
-10.15,118.15,2,3,0
-10.3666666667,118.45,0,2,0
-10.1166666667,118,1,2,0
-9.8333333333,117.5166666667,2,1,0
-10.45,113.6666666667,6,4,4
-10.9666666667,117.0166666667,0,2,0
-10.5,120,5,0,0
-10.7833333333,120.2833333333,1,1,0
-9,123.4166666667,7,4,0
-9.95,114.4166666667,4,23,0
-10.1166666667,115.9166666667,1,4,0
-10.3833333333,113.4333333333,1,0,0
-10.0333333333,116.7666666667,2,5,0
-10.2,117.0833333333,0,8,0
-10.25,116.8333333333,2,3,0
-11,119.2,4,3,10
-10.6333333333,119.2333333333,2,3,8
-10,126.25,14,6,0
-9.4166666667,126.5,7,2,0
-9.7,126.3666666667,2,0,0
-9.8166666667,125.2166666667,9,5,0
-9.6666666667,125.3666666667,6,5,0
-10.65,112.2833333333,0,1,0
-9.8333333333,111.6833333333,0,3,0
-9.1666666667,114.5,3,0,0
-7.85,118.3,4,5,0
-7.8666666667,118.0666666667,1,0,0
-7.9333333333,122.85,3,0,0
-7.8166666667,122.2833333333,0,0,0
-7.75,122,3,0,0
-7.9833333333,121.3333333333,1,0,0
-9.2833333333,112.0833333333,0,4,0
-8.8,112.5833333333,2,0,0
-9.8666666667,113.5833333333,0,2,0
-10.0166666667,111.7333333333,1,0,0
-9.1666666667,122,10,4,0
-9.0833333333,122.4666666667,10,4,0
-8.9166666667,122.6333333333,9,5,0
-9,122.4166666667,9,5,0
-9.0666666667,122.4666666667,4,3,0
-8.9166666667,122.3333333333,7,1,0
-9.0833333333,121.6666666667,9,1,0
-8.9166666667,122.75,3,0,0
-9.0833333333,122.75,4,0,0
-8.6166666667,129.15,1,0,0
-8.6333333333,128.85,7,6,0
-8.7,128.95,0,9,0
-10.6333333333,120.15,1,1,0
